suite_id,sample_id,code,label,character
32,9,12,11,百
100,1,3,2,二
23,5,3,2,二
2,4,7,6,六
96,3,4,3,三
42,6,4,3,三
55,9,5,4,四
46,5,7,6,六
27,5,7,6,六
32,5,8,7,七
95,5,2,1,一
72,7,14,13,万
42,3,8,7,七
19,4,12,11,百
32,7,2,1,一
58,10,11,10,十
21,10,1,0,零
63,2,12,11,百
88,10,7,6,六
63,7,14,13,万
49,6,5,4,四
25,1,4,3,三
81,3,5,4,四
77,6,14,13,万
49,4,1,0,零
57,8,15,14,亿
16,2,4,3,三
56,1,10,9,九
50,1,5,4,四
23,3,2,1,一
47,7,4,3,三
88,7,3,2,二
17,2,11,10,十
5,8,7,6,六
74,4,8,7,七
91,3,14,13,万
57,10,4,3,三
79,10,13,12,千
4,6,1,0,零
18,9,11,10,十
68,5,14,13,万
97,4,4,3,三
11,8,11,10,十
46,2,4,3,三
100,1,10,9,九
42,7,3,2,二
59,3,6,5,五
57,10,15,14,亿
14,6,4,3,三
93,4,10,9,九
46,7,5,4,四
59,10,1,0,零
6,4,8,7,七
24,4,9,8,八
74,6,11,10,十
53,1,14,13,万
78,7,5,4,四
74,2,4,3,三
75,7,11,10,十
48,8,1,0,零
6,10,10,9,九
100,10,9,8,八
84,9,8,7,七
87,6,6,5,五
23,2,11,10,十
87,6,3,2,二
10,8,5,4,四
93,1,1,0,零
14,7,3,2,二
56,7,11,10,十
75,3,2,1,一
82,6,9,8,八
93,1,12,11,百
22,4,8,7,七
13,8,10,9,九
76,8,3,2,二
74,5,5,4,四
8,8,7,6,六
52,3,14,13,万
35,10,12,11,百
43,3,2,1,一
87,4,7,6,六
28,8,3,2,二
60,7,4,3,三
51,1,4,3,三
58,5,6,5,五
67,9,11,10,十
81,2,9,8,八
68,2,4,3,三
74,4,12,11,百
31,5,7,6,六
93,8,10,9,九
55,1,14,13,万
87,1,7,6,六
31,6,9,8,八
71,4,14,13,万
3,8,2,1,一
64,9,4,3,三
99,8,10,9,九
79,10,3,2,二
56,8,14,13,万
88,1,13,12,千
94,5,7,6,六
40,4,15,14,亿
